item,category,verdict,presence,price_median,spread_median,vol_median,valid_median,listing_median,n_obs
★ Driver Gloves | Racing Green (Field-Tested),glove,candidate,0.68,432.0,0.0262,16.0,3.0,84.5,562
★ Hydra Gloves | Mangrove (Field-Tested),glove,candidate,0.669,428.49,0.0317,14.0,3.0,91.0,553
★ Hydra Gloves | Rattler (Field-Tested),glove,candidate,0.674,428.99,0.0318,14.0,3.0,91.0,557
★ Hydra Gloves | Emerald (Field-Tested),glove,candidate,0.69,480.0,0.0291,12.0,3.0,83.0,570
★ Broken Fang Gloves | Needle Point (Field-Tested),glove,candidate,0.72,529.5,0.0312,11.0,3.0,82.0,595
★ Broken Fang Gloves | Unhinged (Field-Tested),glove,candidate,0.685,600.0,0.0309,10.0,3.0,91.0,566
★ Moto Gloves | Transport (Field-Tested),glove,candidate,0.662,561.99,0.0251,9.0,4.0,91.0,547
★ Broken Fang Gloves | Yellow-banded (Field-Tested),glove,candidate,0.708,610.0,0.0285,9.0,3.0,91.0,585
★ Hydra Gloves | Case Hardened (Field-Tested),glove,candidate,0.717,695.0,0.0272,9.0,4.0,91.0,592
★ Driver Gloves | Overtake (Field-Tested),glove,candidate,0.724,664.75,0.0196,9.0,4.0,91.0,598
★ Broken Fang Gloves | Jade (Field-Tested),glove,candidate,0.676,769.7,0.0234,8.0,4.0,91.0,558
★ Sport Gloves | Bronze Morph (Field-Tested),glove,candidate,0.663,938.75,0.0172,7.0,5.0,91.0,548
★ Moto Gloves | Turtle (Field-Tested),glove,candidate,0.654,885.0,0.0193,6.0,5.0,91.0,540
★ Moto Gloves | Blood Pressure (Field-Tested),glove,candidate,0.689,1189.5,0.0291,6.0,3.0,91.0,569
★ Moto Gloves | Polygon (Field-Tested),glove,candidate,0.753,1240.0,0.0268,6.0,4.0,91.0,622
★ Driver Gloves | Black Tie (Field-Tested),glove,candidate,0.654,1425.0,0.0265,5.0,3.0,91.0,540
★ Driver Gloves | Imperial Plaid (Field-Tested),glove,candidate,0.65,2146.0,0.0263,5.0,4.0,91.0,537
★ Gut Knife | Doppler (Factory New),knife,candidate,0.831,1278.25,0.0265,10.0,4.0,91.0,686
★ Shadow Daggers | Gamma Doppler (Factory New),knife,candidate,0.701,1239.49,0.0271,7.0,4.0,91.0,579
★ Navaja Knife | Marble Fade (Factory New),knife,candidate,0.708,1083.99,0.0308,6.0,3.0,91.0,585
★ Navaja Knife | Doppler (Factory New),knife,candidate,0.68,1293.935,0.0274,5.5,3.0,91.0,562
★ Bowie Knife | Tiger Tooth (Factory New),knife,candidate,0.682,1625.0,0.0331,5.0,3.0,72.0,563
M4A4 | Temukau (Field-Tested),mid_tier_primary,candidate,0.782,77.495,0.0143,188.0,8.0,91.0,646
AK-47 | Asiimov (Field-Tested),mid_tier_primary,candidate,0.764,206.5,0.0204,126.0,9.0,91.0,631
AK-47 | Neon Revolution (Field-Tested),mid_tier_primary,candidate,0.682,110.0,0.0186,109.0,6.0,91.0,563
AK-47 | Redline (Field-Tested),mid_tier_primary,candidate,0.837,205.5,0.0141,109.0,9.0,91.0,691
USP-S | Printstream (Field-Tested),mid_tier_primary,candidate,0.696,221.0,0.0228,107.0,9.0,91.0,575
AWP | Chromatic Aberration (Minimal Wear),mid_tier_primary,candidate,0.867,68.615,0.0323,106.0,3.0,91.0,716
AK-47 | Nightwish (Minimal Wear),mid_tier_primary,candidate,0.792,111.0,0.022,96.0,7.0,91.0,654
AWP | Neo-Noir (Field-Tested),mid_tier_primary,candidate,0.799,154.0,0.0262,86.5,5.0,91.0,660
AK-47 | Ice Coaled (Factory New),mid_tier_primary,candidate,0.797,102.0,0.0164,78.0,9.0,91.0,658
M4A4 | The Emperor (Field-Tested),mid_tier_primary,candidate,0.728,81.0,0.0238,76.0,6.0,91.0,601
M4A1-S | Player Two (Field-Tested),mid_tier_primary,candidate,0.743,148.5,0.0199,72.0,7.0,91.0,614
AK-47 | Head Shot (Minimal Wear),mid_tier_primary,candidate,0.763,117.92500000000001,0.0256,71.0,5.0,91.0,630
AK-47 | The Empress (Field-Tested),mid_tier_primary,candidate,0.708,244.99,0.0267,65.0,6.0,91.0,585
M4A4 | Neo-Noir (Minimal Wear),mid_tier_primary,candidate,0.742,79.8,0.0329,65.0,4.0,91.0,613
AWP | Neo-Noir (Minimal Wear),mid_tier_primary,candidate,0.814,182.5,0.0317,64.0,5.0,91.0,672
AK-47 | Legion of Anubis (Factory New),mid_tier_primary,candidate,0.683,101.45,0.014,61.5,7.0,91.0,564
USP-S | Neo-Noir (Field-Tested),mid_tier_primary,candidate,0.755,96.9,0.0221,55.0,5.0,91.0,624
M4A1-S | Decimator (Minimal Wear),mid_tier_primary,candidate,0.755,129.5,0.0256,54.0,5.0,91.0,624
M4A1-S | Hyper Beast (Field-Tested),mid_tier_primary,candidate,0.674,140.99,0.0211,54.0,5.0,91.0,557
M4A4 | Temukau (Minimal Wear),mid_tier_primary,candidate,0.677,291.38,0.0286,47.0,6.0,91.0,559
M4A1-S | Nightmare (Minimal Wear),mid_tier_primary,candidate,0.745,135.5,0.0288,44.0,3.0,91.0,615
AWP | Neo-Noir (Factory New),mid_tier_primary,candidate,0.723,220.0,0.0194,42.0,9.0,91.0,597
AK-47 | Point Disarray (Minimal Wear),mid_tier_primary,candidate,0.743,114.69,0.0285,42.0,4.0,91.0,614
