M4A4 | Desolate Space (Field-Tested)
M4A1-S | Decimator (Field-Tested)
M4A4 | Asiimov (Field-Tested)
M4A1-S | Cyrex (Field-Tested)
M4A4 | Neo-Noir (Field-Tested)
M4A1-S | Printstream (Field-Tested)
AUG | Chameleon (Field-Tested)
SG 553 | Cyrex (Field-Tested)
MP9 | Starlight Protector (Field-Tested)
AK-47 | Redline (Field-Tested)
AWP | Asiimov (Field-Tested)
USP-S | Kill Confirmed (Field-Tested)
SSG 08 | Dragonfire (Field-Tested)
Desert Eagle | Conspiracy (Field-Tested)
R8 Revolver | Llama Cannon (Field-Tested)
FAMAS | Mecha Industries (Field-Tested)
Galil AR | Chatterbox (Field-Tested)
MP5-SD | Phosphor (Field-Tested)
P2000 | Fire Elemental (Field-Tested)
MP7 | Bloodsport (Factory New)
Karambit | Doppler (Factory New)
Butterfly Knife | Fade (Factory New)
Navaja Knife | Crimson Web (Factory New)
